init_source_name|short_name|formal_name|part_of|territory_of
Aruba|Aruba|Aruba|Netherlands|
Anguilla|Anguilla|Anguilla||United Kingdom
Aland Islands|Aland Islands|Aland Islands|Finland|
American Samoa|American Samoa|American Samoa||United States
Ashmore and Cartier Islands|Ashmore and Cartier Islands|Ashmore and Cartier Islands||Australia
French Southern and Antarctic Lands|French Southern and Antarctic Lands|French Southern and Antarctic Lands||France
Saint-Barthlemy|Saint-Barthélemy|Saint-Barthélemy||France
Bermuda|Bermuda|Bermuda||United Kingdom
Curaao|Curacao|Curacao|Netherlands|
Cayman Islands|Cayman Islands|Cayman Islands||United Kingdom
Falkland Islands|Falkland Islands|Falkland Islands||United Kingdom
Faeroe Islands|Faeroe Islands|Faeroe Islands||Denmark
Guernsey|Guernsey|Guernsey||United Kingdom
Greenland|Greenland|Greenland||Denmark
Guam|Guam|Guam||United States
Hong Kong|Hong Kong|Hong Kong||China
Heard I. and McDonald Islands|Heard I. and McDonald Islands|Heard I. and McDonald Islands||Australia
Isle of Man|Isle of Man|Isle of Man||United Kingdom
Indian Ocean Territories|Indian Ocean Territories|Indian Ocean Territories||Australia
British Indian Ocean Territory|British Indian Ocean Territory|British Indian Ocean Territory||United Kingdom
Jersey|Jersey|Jersey||United Kingdom
Siachen Glacier|||India|
Macao|Macao|Macao||China
Saint-Martin|Saint-Martin|Saint-Martin||France
Northern Mariana Islands|Northern Mariana Islands|Northern Mariana Islands||United States
Montserrat|Montserrat|Montserrat||United Kingdom
New Caledonia|New Caledonia|New Caledonia||France
Norfolk Island|Norfolk Island|Norfolk Island||Australia
Pitcairn Islands|Pitcairn Islands|Pitcairn Islands||United Kingdom
Puerto Rico|Puerto Rico|Puerto Rico||United States
French Polynesia|French Polynesia|French Polynesia||France
South Georgia and South Sandwich Islands|South Georgia and South Sandwich Islands|South Georgia and South Sandwich Islands||United Kingdom
Saint Helena|Saint Helena|Saint Helena||United Kingdom
Saint Pierre and Miquelon|Saint Pierre and Miquelon|Saint Pierre and Miquelon||France
Sint Maarten|Sint Maarten|Sint Maarten|Netherlands|
Turks and Caicos Islands|Turks and Caicos Islands|Turks and Caicos Islands||United Kingdom
British Virgin Islands|British Virgin Islands|British Virgin Islands||United Kingdom
United States Virgin Islands|United States Virgin Islands|United States Virgin Islands||United States
Wallis and Futuna Islands|Wallis and Futuna Islands|Wallis and Futuna Islands||France
